#N	J	<m>	<m>_err	<epsilon>	<epsilon>_err	lofb
20	0.300000	0.580918	0.002133	-0.371435	0.003158	16
20	0.300000	0.580907	0.002211	-0.371453	0.003344	32
20	0.300000	0.580916	0.002102	-0.371426	0.003290	64
20	0.300000	0.580906	0.001976	-0.371440	0.003185	128
20	0.300000	0.581091	0.001727	-0.371671	0.002647	256
20	0.300000	0.580604	0.001251	-0.371392	0.001969	512
20	0.400000	0.616570	0.001226	-0.400161	0.001801	1
20	0.400000	0.616563	0.001737	-0.400160	0.002500	2
20	0.400000	0.616574	0.002449	-0.400150	0.003531	4
20	0.400000	0.616597	0.003411	-0.400188	0.004964	8
20	0.400000	0.616582	0.004744	-0.400248	0.006796	16
20	0.400000	0.616634	0.006302	-0.400261	0.009152	32
20	0.400000	0.616628	0.008373	-0.400223	0.011830	64
20	0.400000	0.616641	0.009945	-0.400253	0.013926	128
20	0.400000	0.617919	0.010639	-0.402378	0.015390	256
20	0.400000	0.614958	0.009793	-0.399059	0.015003	512
20	0.500000	0.677178	0.001350	-0.487958	0.002425	1
20	0.500000	0.677187	0.001813	-0.487961	0.003266	2
20	0.500000	0.677160	0.002371	-0.487941	0.004229	4
20	0.500000	0.677180	0.003009	-0.487954	0.005370	8
20	0.500000	0.677236	0.003622	-0.487970	0.006464	16
20	0.500000	0.677211	0.004086	-0.488111	0.007279	32
20	0.500000	0.677199	0.004545	-0.488122	0.008290	64
20	0.500000	0.677183	0.004353	-0.488015	0.007741	128
20	0.500000	0.678025	0.004990	-0.489677	0.008355	256
20	0.500000	0.678361	0.005230	-0.490872	0.009082	512
20	0.600000	0.718318	0.001459	-0.553025	0.002896	1
20	0.600000	0.718292	0.001750	-0.553052	0.003454	2
20	0.600000	0.718307	0.002067	-0.553065	0.004070	4
20	0.600000	0.718323	0.002258	-0.553055	0.004392	8
20	0.600000	0.718260	0.002337	-0.552966	0.004530	16
20	0.600000	0.718260	0.002273	-0.552955	0.004268	32
20	0.600000	0.718252	0.002162	-0.552945	0.004064	64
20	0.600000	0.718268	0.002201	-0.552920	0.004386	128
20	0.600000	0.718584	0.001873	-0.553780	0.004182	256
20	0.600000	0.718671	0.002023	-0.554534	0.004452	512
20	0.700000	0.757667	0.001385	-0.613378	0.003012	1
20	0.700000	0.757671	0.001457	-0.613404	0.003122	2
20	0.700000	0.757674	0.001498	-0.613370	0.003165	4
20	0.700000	0.757671	0.001443	-0.613389	0.003123	8
20	0.700000	0.757717	0.001423	-0.613506	0.003061	16
20	0.700000	0.757707	0.001322	-0.613518	0.002885	32
20	0.700000	0.757710	0.001167	-0.613479	0.002558	64
20	0.700000	0.757700	0.001165	-0.613475	0.002308	128
20	0.700000	0.757752	0.001419	-0.613761	0.002787	256
20	0.700000	0.757869	0.001477	-0.614296	0.003026	512
20	0.800000	0.798389	0.001256	-0.690825	0.003304	1
20	0.800000	0.798399	0.001152	-0.690860	0.002966	2
20	0.800000	0.798378	0.001158	-0.690834	0.002889	4
20	0.800000	0.798400	0.001111	-0.690861	0.002720	8
20	0.800000	0.798391	0.001120	-0.690816	0.002618	16
20	0.800000	0.798400	0.001063	-0.690868	0.002553	32
20	0.800000	0.798393	0.001008	-0.690858	0.002604	64
20	0.800000	0.798392	0.000996	-0.690849	0.002796	128
20	0.800000	0.798695	0.001123	-0.691390	0.002468	256
20	0.800000	0.799195	0.001321	-0.692147	0.002887	512
20	0.900000	0.832955	0.001116	-0.761789	0.003445	1
20	0.900000	0.832963	0.000935	-0.761793	0.002633	2
20	0.900000	0.832954	0.000939	-0.761791	0.002388	4
20	0.900000	0.832962	0.000963	-0.761788	0.002311	8
20	0.900000	0.832906	0.000966	-0.761704	0.002182	16
20	0.900000	0.832895	0.001031	-0.761713	0.002325	32
20	0.900000	0.832918	0.000941	-0.761679	0.002308	64
20	0.900000	0.832906	0.000942	-0.761701	0.002095	128
20	0.900000	0.832886	0.001097	-0.761573	0.002651	256
20	0.900000	0.832864	0.000664	-0.762055	0.002264	512
20	1.000000	0.861800	0.001036	-0.837411	0.003722	1
20	1.000000	0.861789	0.000758	-0.837403	0.002314	2
20	1.000000	0.861788	0.000819	-0.837379	0.002229	4
20	1.000000	0.861794	0.000859	-0.837368	0.002104	8
20	1.000000	0.861763	0.000869	-0.837346	0.002045	16
20	1.000000	0.861778	0.000927	-0.837353	0.002204	32
20	1.000000	0.861765	0.000928	-0.837356	0.002261	64
20	1.000000	0.861766	0.000867	-0.837394	0.002312	128
20	1.000000	0.861936	0.000926	-0.837825	0.002112	256
20	1.000000	0.862123	0.001045	-0.837225	0.001987	512
20	1.100000	0.887468	0.000879	-0.907736	0.003727	1
20	1.100000	0.887465	0.000633	-0.907708	0.001987	2
20	1.100000	0.887457	0.000719	-0.907704	0.001924	4
20	1.100000	0.887459	0.000803	-0.907708	0.001799	8
20	1.100000	0.887587	0.000845	-0.907615	0.001795	16
20	1.100000	0.887569	0.000879	-0.907620	0.001798	32
20	1.100000	0.887567	0.000919	-0.907635	0.001745	64
20	1.100000	0.887572	0.000912	-0.907623	0.001984	128
20	1.100000	0.887563	0.000931	-0.907739	0.001689	256
20	1.100000	0.887430	0.001157	-0.907934	0.002137	512
20	1.200000	0.908883	0.000745	-0.982943	0.003873	1
20	1.200000	0.908880	0.000478	-0.982924	0.001829	2
20	1.200000	0.908889	0.000572	-0.982935	0.001823	4
20	1.200000	0.908888	0.000660	-0.982927	0.001839	8
20	1.200000	0.908873	0.000747	-0.982927	0.001970	16
20	1.200000	0.908868	0.000821	-0.982911	0.002023	32
20	1.200000	0.908872	0.000903	-0.982929	0.002086	64
20	1.200000	0.908871	0.000867	-0.982906	0.002252	128
20	1.200000	0.909015	0.000966	-0.983319	0.002660	256
20	1.200000	0.909081	0.001087	-0.983497	0.003005	512
20	1.300000	0.926030	0.000622	-1.051444	0.003980	1
20	1.300000	0.926026	0.000388	-1.051429	0.001698	2
20	1.300000	0.926026	0.000469	-1.051444	0.001784	4
20	1.300000	0.926027	0.000571	-1.051442	0.001819	8
20	1.300000	0.926082	0.000706	-1.051388	0.001964	16
20	1.300000	0.926085	0.000780	-1.051399	0.002045	32
20	1.300000	0.926085	0.000764	-1.051386	0.001982	64
20	1.300000	0.926082	0.000845	-1.051408	0.002022	128
20	1.300000	0.925943	0.000843	-1.051533	0.002185	256
20	1.300000	0.926064	0.000710	-1.050390	0.001755	512
20	1.400000	0.939512	0.000524	-1.118042	0.004098	1
20	1.400000	0.939514	0.000310	-1.118082	0.001521	2
20	1.400000	0.939507	0.000391	-1.118083	0.001587	4
20	1.400000	0.939515	0.000490	-1.118059	0.001687	8
20	1.400000	0.939542	0.000583	-1.117969	0.001774	16
20	1.400000	0.939540	0.000686	-1.117972	0.001831	32
20	1.400000	0.939537	0.000711	-1.117949	0.001970	64
20	1.400000	0.939536	0.000713	-1.117993	0.001946	128
20	1.400000	0.939843	0.000699	-1.117407	0.002014	256
20	1.400000	0.940065	0.000549	-1.116757	0.002079	512
20	1.500000	0.950461	0.000472	-1.185855	0.004360	1
20	1.500000	0.950464	0.000293	-1.185870	0.001278	2
20	1.500000	0.950460	0.000389	-1.185851	0.001415	4
20	1.500000	0.950457	0.000517	-1.185859	0.001647	8
20	1.500000	0.950464	0.000684	-1.185893	0.001964	16
20	1.500000	0.950479	0.000868	-1.185895	0.002307	32
