x	l	dc
-6.200000e-01	0	1.696071e+00
-6.200000e-01	1	5.885053e-01
-6.200000e-01	2	4.682138e-01
-6.200000e-01	3	2.722827e-01
-6.200000e-01	4	3.713661e-01
-6.200000e-01	5	3.485053e-01
-6.200000e-01	6	3.429809e-01
-6.100000e-01	0	1.696071e+00
-6.100000e-01	1	5.713103e-01
-6.100000e-01	2	4.814815e-01
-6.100000e-01	3	2.771240e-01
-6.100000e-01	4	3.740192e-01
-6.100000e-01	5	3.540326e-01
-6.100000e-01	6	3.473414e-01
-6.000000e-01	0	1.696071e+00
-6.000000e-01	1	5.552649e-01
-6.000000e-01	2	4.945234e-01
-6.000000e-01	3	2.822933e-01
-6.000000e-01	4	3.767486e-01
-6.000000e-01	5	3.596486e-01
-6.000000e-01	6	3.518697e-01
-5.900000e-01	0	1.696071e+00
-5.900000e-01	1	5.403689e-01
-5.900000e-01	2	5.073285e-01
-5.900000e-01	3	2.877836e-01
-5.900000e-01	4	3.795695e-01
-5.900000e-01	5	3.653516e-01
-5.900000e-01	6	3.565684e-01
-5.800000e-01	0	1.696071e+00
-5.800000e-01	1	5.266223e-01
-5.800000e-01	2	5.198872e-01
-5.800000e-01	3	2.935887e-01
-5.800000e-01	4	3.824969e-01
-5.800000e-01	5	3.711407e-01
-5.800000e-01	6	3.614399e-01
-5.700000e-01	0	1.696071e+00
-5.700000e-01	1	5.140253e-01
-5.700000e-01	2	5.321908e-01
-5.700000e-01	3	2.997025e-01
-5.700000e-01	4	3.855451e-01
-5.700000e-01	5	3.770153e-01
-5.700000e-01	6	3.664863e-01
-5.600000e-01	0	1.696071e+00
-5.600000e-01	1	5.025777e-01
-5.600000e-01	2	5.442318e-01
-5.600000e-01	3	3.061194e-01
-5.600000e-01	4	3.887283e-01
-5.600000e-01	5	3.829756e-01
-5.600000e-01	6	3.717096e-01
-5.500000e-01	0	1.696071e+00
-5.500000e-01	1	4.922796e-01
-5.500000e-01	2	5.560038e-01
-5.500000e-01	3	3.128343e-01
-5.500000e-01	4	3.920600e-01
-5.500000e-01	5	3.890223e-01
-5.500000e-01	6	3.771119e-01
-5.400000e-01	0	1.696071e+00
-5.400000e-01	1	4.831309e-01
-5.400000e-01	2	5.675017e-01
-5.400000e-01	3	3.198423e-01
-5.400000e-01	4	3.955535e-01
-5.400000e-01	5	3.951565e-01
-5.400000e-01	6	3.826950e-01
-5.300000e-01	0	1.696071e+00
-5.300000e-01	1	4.751318e-01
-5.300000e-01	2	5.787214e-01
-5.300000e-01	3	3.271388e-01
-5.300000e-01	4	3.992214e-01
-5.300000e-01	5	4.013801e-01
-5.300000e-01	6	3.884607e-01
-5.200000e-01	0	1.696071e+00
-5.200000e-01	1	4.682821e-01
-5.200000e-01	2	5.896599e-01
-5.200000e-01	3	3.347194e-01
-5.200000e-01	4	4.030761e-01
-5.200000e-01	5	4.076953e-01
-5.200000e-01	6	3.944108e-01
-5.100000e-01	0	1.696071e+00
-5.100000e-01	1	4.625819e-01
-5.100000e-01	2	6.003155e-01
-5.100000e-01	3	3.425802e-01
-5.100000e-01	4	4.071294e-01
-5.100000e-01	5	4.141050e-01
-5.100000e-01	6	4.005470e-01
-5.000000e-01	0	1.696071e+00
-5.000000e-01	1	4.580311e-01
-5.000000e-01	2	6.106876e-01
-5.000000e-01	3	3.507172e-01
-5.000000e-01	4	4.113928e-01
-5.000000e-01	5	4.206127e-01
-5.000000e-01	6	4.068711e-01
-4.900000e-01	0	1.696071e+00
-4.900000e-01	1	4.546298e-01
-4.900000e-01	2	6.207766e-01
-4.900000e-01	3	3.591270e-01
-4.900000e-01	4	4.158774e-01
-4.900000e-01	5	4.272221e-01
-4.900000e-01	6	4.133849e-01
-4.800000e-01	0	1.696071e+00
-4.800000e-01	1	4.523780e-01
-4.800000e-01	2	6.305843e-01
-4.800000e-01	3	3.678061e-01
-4.800000e-01	4	4.205938e-01
-4.800000e-01	5	4.339379e-01
-4.800000e-01	6	4.200903e-01
-4.700000e-01	0	1.696071e+00
-4.700000e-01	1	4.512757e-01
-4.700000e-01	2	6.401133e-01
-4.700000e-01	3	3.767512e-01
-4.700000e-01	4	4.255522e-01
-4.700000e-01	5	4.407649e-01
-4.700000e-01	6	4.269892e-01
-4.600000e-01	0	1.696071e+00
-4.600000e-01	1	4.513228e-01
-4.600000e-01	2	6.493676e-01
-4.600000e-01	3	3.859593e-01
-4.600000e-01	4	4.307626e-01
-4.600000e-01	5	4.477086e-01
-4.600000e-01	6	4.340838e-01
-4.500000e-01	0	1.696071e+00
-4.500000e-01	1	4.525194e-01
-4.500000e-01	2	6.583523e-01
-4.500000e-01	3	3.954275e-01
-4.500000e-01	4	4.362344e-01
-4.500000e-01	5	4.547750e-01
-4.500000e-01	6	4.413762e-01
-4.400000e-01	0	1.696071e+00
-4.400000e-01	1	4.548655e-01
-4.400000e-01	2	6.670736e-01
-4.400000e-01	3	4.051531e-01
-4.400000e-01	4	4.419767e-01
-4.400000e-01	5	4.619706e-01
-4.400000e-01	6	4.488688e-01
-4.300000e-01	0	1.696071e+00
