energy	q	Abs(s)	Arg(s)	Abs(swopm)	Arg(swopm)
161	2.786860e+00	1.000000e+00	1.345423e+00	1.000000e+00	1.345437e+00
162	2.795501e+00	1.000000e+00	1.342691e+00	1.000000e+00	1.342705e+00
163	2.804116e+00	1.000000e+00	1.339990e+00	1.000000e+00	1.340004e+00
164	2.812705e+00	1.000000e+00	1.337319e+00	1.000000e+00	1.337333e+00
165	2.821267e+00	1.000000e+00	1.334678e+00	1.000000e+00	1.334692e+00
166	2.829803e+00	1.000000e+00	1.332067e+00	1.000000e+00	1.332081e+00
167	2.838314e+00	1.000000e+00	1.329485e+00	1.000000e+00	1.329499e+00
168	2.846799e+00	1.000000e+00	1.326932e+00	1.000000e+00	1.326946e+00
169	2.855259e+00	1.000000e+00	1.324408e+00	1.000000e+00	1.324421e+00
170	2.863694e+00	1.000000e+00	1.321912e+00	1.000000e+00	1.321925e+00
171	2.872105e+00	1.000000e+00	1.319444e+00	1.000000e+00	1.319457e+00
172	2.880490e+00	1.000000e+00	1.317003e+00	1.000000e+00	1.317017e+00
173	2.888852e+00	1.000000e+00	1.314591e+00	1.000000e+00	1.314604e+00
174	2.897189e+00	1.000000e+00	1.312205e+00	1.000000e+00	1.312219e+00
175	2.905502e+00	1.000000e+00	1.309846e+00	1.000000e+00	1.309860e+00
176	2.913792e+00	1.000000e+00	1.307513e+00	1.000000e+00	1.307527e+00
177	2.922058e+00	1.000000e+00	1.305207e+00	1.000000e+00	1.305221e+00
178	2.930301e+00	1.000000e+00	1.302927e+00	1.000000e+00	1.302941e+00
179	2.938520e+00	1.000000e+00	1.300672e+00	1.000000e+00	1.300686e+00
180	2.946717e+00	1.000000e+00	1.298443e+00	1.000000e+00	1.298457e+00
181	2.954891e+00	1.000000e+00	1.296239e+00	1.000000e+00	1.296253e+00
182	2.963043e+00	1.000000e+00	1.294060e+00	1.000000e+00	1.294073e+00
183	2.971172e+00	1.000000e+00	1.291905e+00	1.000000e+00	1.291918e+00
184	2.979279e+00	1.000000e+00	1.289774e+00	1.000000e+00	1.289788e+00
185	2.987364e+00	1.000000e+00	1.287667e+00	1.000000e+00	1.287681e+00
186	2.995427e+00	1.000000e+00	1.285584e+00	1.000000e+00	1.285598e+00
187	3.003468e+00	1.000000e+00	1.283525e+00	1.000000e+00	1.283538e+00
188	3.011488e+00	1.000000e+00	1.281488e+00	1.000000e+00	1.281502e+00
189	3.019487e+00	1.000000e+00	1.279475e+00	1.000000e+00	1.279488e+00
190	3.027464e+00	1.000000e+00	1.277483e+00	1.000000e+00	1.277497e+00
191	3.035421e+00	1.000000e+00	1.275515e+00	1.000000e+00	1.275528e+00
192	3.043356e+00	1.000000e+00	1.273568e+00	1.000000e+00	1.273582e+00
193	3.051272e+00	1.000000e+00	1.271643e+00	1.000000e+00	1.271657e+00
194	3.059166e+00	1.000000e+00	1.269740e+00	1.000000e+00	1.269754e+00
195	3.067041e+00	1.000000e+00	1.267858e+00	1.000000e+00	1.267872e+00
196	3.074895e+00	1.000000e+00	1.265997e+00	1.000000e+00	1.266011e+00
197	3.082729e+00	1.000000e+00	1.264157e+00	1.000000e+00	1.264171e+00
198	3.090543e+00	1.000000e+00	1.262338e+00	1.000000e+00	1.262352e+00
199	3.098338e+00	1.000000e+00	1.260539e+00	1.000000e+00	1.260552e+00
200	3.106113e+00	1.000000e+00	1.258760e+00	1.000000e+00	1.258773e+00
